Region_code,Price,Property_type,Bedrooms_str,Year,Month_name,Day_name
2601,595000,house,Three_bedrooms,2008,August,Friday
2617,365000,house,Three_bedrooms,2008,August,Monday
2611,585000,house,Three_bedrooms,2008,August,Monday
2912,602500,house,Four_bedrooms,2008,August,Monday
2906,359000,house,Three_bedrooms,2008,August,Tuesday
2902,475000,house,Three_bedrooms,2008,August,Tuesday
2615,315000,house,Three_bedrooms,2008,August,Wednesday
2615,320000,house,Four_bedrooms,2008,August,Wednesday
2617,325000,house,Four_bedrooms,2008,August,Wednesday
2615,341000,house,Three_bedrooms,2008,August,Wednesday
2617,540000,house,Four_bedrooms,2008,August,Wednesday
2615,395000,house,Four_bedrooms,2008,August,Thursday
2617,370000,house,Three_bedrooms,2008,August,Saturday
2602,620000,house,Four_bedrooms,2008,August,Saturday
2906,631000,house,Four_bedrooms,2008,August,Saturday
2615,405000,house,Four_bedrooms,2008,August,Monday
2605,548000,house,Three_bedrooms,2008,August,Tuesday
2615,405000,house,Four_bedrooms,2008,August,Wednesday
2611,420000,house,Three_bedrooms,2008,August,Wednesday
2611,531500,house,Four_bedrooms,2008,August,Wednesday
2611,350000,house,Two_bedrooms,2008,August,Thursday
2906,365000,house,Three_bedrooms,2008,August,Friday
2905,375000,house,Three_bedrooms,2008,August,Friday
2611,402000,house,Three_bedrooms,2008,August,Friday
2902,420000,house,Three_bedrooms,2008,August,Friday
2913,550000,house,Two_bedrooms,2008,August,Friday
2913,585000,house,Four_bedrooms,2008,August,Friday
2615,279500,house,Two_bedrooms,2008,August,Monday
2615,330000,house,Three_bedrooms,2008,August,Tuesday
2617,360000,house,Three_bedrooms,2008,August,Tuesday
2905,370000,house,Three_bedrooms,2008,August,Tuesday
2611,405000,house,Three_bedrooms,2008,August,Wednesday
2913,395000,house,Three_bedrooms,2008,August,Thursday
2617,490000,house,Four_bedrooms,2008,August,Thursday
2905,530000,house,Five_bedrooms,2008,August,Thursday
2607,680000,house,Four_bedrooms,2008,August,Thursday
2605,495000,house,Four_bedrooms,2008,August,Friday
2617,805000,house,Four_bedrooms,2008,August,Friday
2607,630000,house,Four_bedrooms,2008,August,Saturday
2913,400000,house,Three_bedrooms,2008,August,Monday
2614,345000,house,Three_bedrooms,2008,August,Wednesday
2913,440000,house,Three_bedrooms,2008,August,Wednesday
2611,510000,house,Four_bedrooms,2008,August,Wednesday
2905,310000,house,Three_bedrooms,2008,August,Thursday
2906,370000,house,Four_bedrooms,2008,August,Friday
2914,465000,house,Four_bedrooms,2008,August,Friday
2905,342000,house,Three_bedrooms,2008,August,Saturday
2903,380000,house,Three_bedrooms,2008,September,Monday
2906,345000,house,Three_bedrooms,2008,September,Tuesday
2615,370000,house,Four_bedrooms,2008,September,Tuesday
2906,495000,house,Four_bedrooms,2008,September,Tuesday
2914,541000,house,Four_bedrooms,2008,September,Tuesday
2600,1380000,house,Five_bedrooms,2008,September,Tuesday
2615,372000,house,Three_bedrooms,2008,September,Wednesday
2617,415000,house,Three_bedrooms,2008,September,Wednesday
2913,335000,house,Three_bedrooms,2008,September,Thursday
2913,1150000,house,Five_bedrooms,2008,September,Thursday
2615,387000,house,Three_bedrooms,2008,September,Friday
2914,395000,house,Three_bedrooms,2008,September,Friday
2905,400000,house,Four_bedrooms,2008,September,Friday
2617,426000,house,Three_bedrooms,2008,September,Friday
2914,552000,house,Four_bedrooms,2008,September,Friday
2615,349000,house,Three_bedrooms,2008,September,Monday
2900,360500,house,Three_bedrooms,2008,September,Monday
2600,740000,house,Three_bedrooms,2008,September,Monday
2614,371600,house,Four_bedrooms,2008,September,Wednesday
2607,380000,house,Three_bedrooms,2008,September,Thursday
2617,450000,house,Three_bedrooms,2008,September,Thursday
2617,427000,house,Four_bedrooms,2008,September,Friday
2913,477000,house,Four_bedrooms,2008,September,Saturday
2617,479000,house,Three_bedrooms,2008,September,Saturday
2905,321000,house,Two_bedrooms,2008,September,Monday
2617,405000,house,Three_bedrooms,2008,September,Monday
2614,357000,house,Three_bedrooms,2008,September,Tuesday
2615,360000,house,Four_bedrooms,2008,September,Tuesday
