Region_code,Price,Property_type,Bedrooms_str,Year,Month_name,Day_name,Price_per_bedrooms
2900,360500,house,Three_bedrooms,2008,September,Monday,120167.0
2600,740000,house,Three_bedrooms,2008,September,Monday,246667.0
2614,371600,house,Four_bedrooms,2008,September,Wednesday,92900.0
2607,380000,house,Three_bedrooms,2008,September,Thursday,126667.0
2617,450000,house,Three_bedrooms,2008,September,Thursday,150000.0
2617,427000,house,Four_bedrooms,2008,September,Friday,106750.0
2913,477000,house,Four_bedrooms,2008,September,Saturday,119250.0
2617,479000,house,Three_bedrooms,2008,September,Saturday,159667.0
2905,321000,house,Two_bedrooms,2008,September,Monday,160500.0
2617,405000,house,Three_bedrooms,2008,September,Monday,135000.0
2614,357000,house,Three_bedrooms,2008,September,Tuesday,119000.0
2615,360000,house,Four_bedrooms,2008,September,Tuesday,90000.0
2617,365000,house,Three_bedrooms,2008,September,Tuesday,121667.0
2617,585000,house,Four_bedrooms,2008,September,Tuesday,146250.0
2615,343000,house,Three_bedrooms,2008,September,Wednesday,114333.0
2914,410000,house,Three_bedrooms,2008,September,Wednesday,136667.0
2903,420000,house,Four_bedrooms,2008,September,Wednesday,105000.0
2614,420000,house,Three_bedrooms,2008,September,Wednesday,140000.0
2600,720000,house,Three_bedrooms,2008,September,Wednesday,240000.0
2614,720000,house,Five_bedrooms,2008,September,Wednesday,144000.0
2913,320000,house,Three_bedrooms,2008,September,Thursday,106667.0
2902,474000,house,Four_bedrooms,2008,September,Thursday,118500.0
2607,860000,house,Three_bedrooms,2008,September,Thursday,286667.0
2913,460000,house,Three_bedrooms,2008,September,Friday,153333.0
2602,592000,house,Two_bedrooms,2008,September,Friday,296000.0
2913,695000,house,Five_bedrooms,2008,September,Friday,139000.0
2617,346000,house,Three_bedrooms,2008,September,Saturday,115333.0
2615,349950,house,Three_bedrooms,2008,September,Monday,116650.0
2906,355000,house,Three_bedrooms,2008,September,Monday,118333.0
2913,362000,house,Three_bedrooms,2008,September,Monday,120667.0
2905,373000,house,Three_bedrooms,2008,September,Monday,124333.0
2611,399000,house,Four_bedrooms,2008,September,Monday,99750.0
2905,422250,house,Three_bedrooms,2008,September,Monday,140750.0
2611,445000,house,Three_bedrooms,2008,September,Monday,148333.0
2615,475000,house,Four_bedrooms,2008,September,Monday,118750.0
2903,485000,house,Five_bedrooms,2008,September,Monday,97000.0
2605,560500,house,Four_bedrooms,2008,September,Monday,140125.0
2906,590000,house,Four_bedrooms,2008,September,Monday,147500.0
2615,595000,house,Four_bedrooms,2008,September,Monday,148750.0
2605,650000,house,Three_bedrooms,2008,September,Monday,216667.0
2611,660000,house,Four_bedrooms,2008,September,Monday,165000.0
2905,675000,house,Four_bedrooms,2008,September,Monday,168750.0
2611,685000,house,Four_bedrooms,2008,September,Monday,171250.0
2600,690000,house,Four_bedrooms,2008,September,Monday,172500.0
2604,975000,house,Three_bedrooms,2008,September,Monday,325000.0
2906,372000,house,Three_bedrooms,2008,September,Tuesday,124000.0
2606,437000,house,Three_bedrooms,2008,September,Wednesday,145667.0
2607,411000,house,Three_bedrooms,2008,September,Thursday,137000.0
2903,450000,house,Four_bedrooms,2008,September,Thursday,112500.0
2602,525000,house,Two_bedrooms,2008,September,Thursday,262500.0
2913,312000,house,Three_bedrooms,2008,September,Friday,104000.0
2617,510000,house,Four_bedrooms,2008,September,Friday,127500.0
2607,707500,house,Four_bedrooms,2008,September,Friday,176875.0
2914,755000,house,Four_bedrooms,2008,September,Friday,188750.0
2617,380000,house,Four_bedrooms,2008,September,Monday,95000.0
2611,389000,house,Three_bedrooms,2008,September,Monday,129667.0
2906,415000,house,Three_bedrooms,2008,September,Monday,138333.0
2611,557000,house,Four_bedrooms,2008,September,Monday,139250.0
2605,585000,house,Four_bedrooms,2008,September,Monday,146250.0
2604,595000,house,Two_bedrooms,2008,September,Monday,297500.0
2906,875000,house,Five_bedrooms,2008,September,Monday,175000.0
2913,367500,house,Four_bedrooms,2008,September,Tuesday,91875.0
2614,372000,house,Three_bedrooms,2008,September,Tuesday,124000.0
2605,549000,house,Three_bedrooms,2008,September,Tuesday,183000.0
2615,575000,house,Four_bedrooms,2008,September,Tuesday,143750.0
2905,594000,house,Four_bedrooms,2008,September,Tuesday,148500.0
2612,662500,house,Two_bedrooms,2008,September,Tuesday,331250.0
2904,455000,house,Four_bedrooms,2008,October,Wednesday,113750.0
2904,390000,house,Three_bedrooms,2008,October,Thursday,130000.0
2906,332000,house,Three_bedrooms,2008,October,Friday,110667.0
2903,380000,house,Three_bedrooms,2008,October,Friday,126667.0
2904,405000,house,Four_bedrooms,2008,October,Friday,101250.0
2905,460000,house,Four_bedrooms,2008,October,Friday,115000.0
2903,355000,house,Three_bedrooms,2008,October,Tuesday,118333.0
2905,473000,house,Four_bedrooms,2008,October,Tuesday,118250.0
2611,560000,house,Four_bedrooms,2008,October,Tuesday,140000.0
2614,347000,house,Three_bedrooms,2008,October,Wednesday,115667.0
2615,359950,house,Three_bedrooms,2008,October,Wednesday,119983.0
2602,1030000,house,Three_bedrooms,2008,October,Wednesday,343333.0
2904,338500,house,Three_bedrooms,2008,October,Thursday,112833.0
2614,378000,house,Three_bedrooms,2008,October,Friday,126000.0
2611,400000,house,Four_bedrooms,2008,October,Friday,100000.0
2904,453000,house,Four_bedrooms,2008,October,Friday,113250.0
2615,476600,house,Four_bedrooms,2008,October,Friday,119150.0
2902,677500,house,Four_bedrooms,2008,October,Friday,169375.0
2602,749950,house,Four_bedrooms,2008,October,Friday,187488.0
2906,390000,house,Three_bedrooms,2008,October,Sunday,130000.0
2611,435000,house,Three_bedrooms,2008,October,Monday,145000.0
2617,507500,house,Four_bedrooms,2008,October,Monday,126875.0
2905,350000,house,Three_bedrooms,2008,October,Tuesday,116667.0
2903,399000,house,Three_bedrooms,2008,October,Tuesday,133000.0
2914,420000,house,Four_bedrooms,2008,October,Tuesday,105000.0
2904,450000,house,Three_bedrooms,2008,October,Tuesday,150000.0
2602,525000,house,Two_bedrooms,2008,October,Tuesday,262500.0
2602,595000,house,Four_bedrooms,2008,October,Tuesday,148750.0
